"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Stiliyan Petrov","Central Midfield",27,"Celtic","Premiership","Aston Villa","Premier League","2006-2007",7350000,10000000
"Pascal Chimbonda","Right-Back",27,"Wigan","Premier League","Spurs","Premier League","2006-2007",4000000,10000000
"Jermaine Pennant","Right Winger",23,"Birmingham","Championship","Liverpool","Premier League","2006-2007",5500000,9100000
"Craig Bellamy","Left Winger",26,"Blackburn","Premier League","Liverpool","Premier League","2006-2007",9000000,9000000
"Robert Huth","Centre-Back",21,"Chelsea","Premier League","Middlesbrough","Premier League","2006-2007",2750000,8900000
"Asier del Horno","Left-Back",25,"Chelsea","Premier League","Valencia CF","LaLiga","2006-2007",12000000,7500000
"Emile Heskey","Centre-Forward",28,"Birmingham","Championship","Wigan","Premier League","2006-2007",5500000,7500000
"Ashley Cole","Left-Back",25,"Arsenal","Premier League","Chelsea","Premier League","2006-2007",17000000,7400000
"Luís Boa Morte","Left Midfield",29,"Fulham","Premier League","West Ham","Premier League","2006-2007",3500000,6800000
"Mido","Centre-Forward",23,"AS Roma","Serie A","Spurs","Premier League","2006-2007",10500000,6750000
"Joleon Lescott","Centre-Back",23,"Wolves","Championship","Everton","Premier League","2006-2007",8000000,6500000
"Souleymane Diawara","Centre-Back",27,"FC Sochaux","Ligue 1","Charlton","Premier League","2006-2007",4000000,5400000
"Fernando Morientes","Centre-Forward",30,"Liverpool","Premier League","Valencia CF","LaLiga","2006-2007",10000000,5000000
"Ricardo Rocha","Centre-Back",28,"Benfica","Liga NOS","Spurs","Premier League","2006-2007",3600000,5000000
"Benoît Assou-Ekotto","Left-Back",22,"Lens","Ligue 1","Spurs","Premier League","2006-2007",2800000,5000000
"Denílson","Defensive Midfield",18,"São Paulo","Série A","Arsenal","Premier League","2006-2007",NA,5000000
"Niko Kranjcar","Attacking Midfield",22,"Hajduk Split","1.HNL","Portsmouth","Premier League","2006-2007",5000000,4500000
"Franck Queudrue","Left-Back",27,"Middlesbrough","Premier League","Fulham","Premier League","2006-2007",4500000,4500000
"Fitz Hall","Centre-Back",25,"Crystal Palace","Championship","Wigan","Premier League","2006-2007",4500000,4500000
"Greg Halford","Centre-Back",22,"Colchester Utd.","Championship","Reading","Premier League","2006-2007",400000,4500000
"Denny Landzaat","Central Midfield",30,"AZ Alkmaar","Eredivisie","Wigan","Premier League","2006-2007",7000000,4400000
"Andy Reid","Left Midfield",23,"Spurs","Premier League","Charlton","Premier League","2006-2007",5700000,4200000
"Calum Davenport","Centre-Back",24,"Spurs","Premier League","West Ham","Premier League","2006-2007",1500000,4200000
"Jason Roberts","Centre-Forward",28,"Wigan","Premier League","Blackburn","Premier League","2006-2007",3850000,4080000
"Salomon Kalou","Left Winger",20,"Feyenoord","Eredivisie","Chelsea","Premier League","2006-2007",8500000,4000000
"Jean-Alain Boumsong","Centre-Back",26,"Newcastle","Premier League","Juventus","Serie B","2006-2007",7500000,4000000
"Álvaro Arbeloa","Right-Back",24,"Dep. La Coruña","LaLiga","Liverpool","Premier League","2006-2007",1300000,3900000
"Matthew Kilgallon","Centre-Back",22,"Leeds","Championship","Sheffield Utd.","Premier League","2006-2007",100000,3800000
"Madjid Bougherra","Centre-Back",24,"Sheff Wed","Championship","Charlton","Premier League","2006-2007",100000,3790000
"Jimmy Bullard","Central Midfield",27,"Wigan","Premier League","Fulham","Premier League","2006-2007",4500000,3750000
"Shefki Kuqi","Centre-Forward",29,"Blackburn","Premier League","Crystal Palace","Championship","2006-2007",1750000,3750000
"Benni McCarthy","Centre-Forward",28,"FC Porto","Liga NOS","Blackburn","Premier League","2006-2007",6000000,3700000
"Jiri Jarosik","Centre-Back",28,"Chelsea","Premier League","Celtic","Premiership","2006-2007",6500000,3500000
"Claude Davis","Centre-Back",27,"Preston NE","Championship","Sheffield Utd.","Premier League","2006-2007",300000,3500000
"Rob Hulse","Centre-Forward",26,"Leeds","Championship","Sheffield Utd.","Premier League","2006-2007",1750000,3450000
"Radhi Jaidi","Centre-Back",30,"Bolton","Premier League","Birmingham","Championship","2006-2007",2000000,3250000
"David Cotterill","Right Winger",18,"Bristol City","League One","Wigan","Premier League","2006-2007",400000,3200000
"Steed Malbranque","Central Midfield",26,"Fulham","Premier League","Spurs","Premier League","2006-2007",8200000,3000000
"Andreas Isaksson","Goalkeeper",24,"Stade Rennais","Ligue 1","Man City","Premier League","2006-2007",6000000,3000000
"Jan Kromkamp","Right-Back",25,"Liverpool","Premier League","PSV Eindhoven","Eredivisie","2006-2007",5000000,3000000
"Robert Green","Goalkeeper",26,"Norwich","Championship","West Ham","Premier League","2006-2007",5000000,3000000
"Bernardo Corradi","Centre-Forward",30,"Valencia CF","LaLiga","Man City","Premier League","2006-2007",4000000,3000000
"Carlton Cole","Centre-Forward",22,"Chelsea","Premier League","West Ham","Premier League","2006-2007",3000000,3000000
"Amdy Fayé","Defensive Midfield",29,"Newcastle","Premier League","Charlton","Premier League","2006-2007",2500000,3000000
"André Ooijer","Centre-Back",32,"PSV Eindhoven","Eredivisie","Blackburn","Premier League","2006-2007",2500000,3000000
"Abdoulaye Fayé","Centre-Back",28,"Lens","Ligue 1","Bolton","Premier League","2006-2007",2400000,3000000
"Pascal Cygan","Centre-Back",32,"Arsenal","Premier League","Villarreal CF","LaLiga","2006-2007",1400000,3000000
"Clint Dempsey","Second Striker",23,"Revolution","MLS","Fulham","Premier League","2006-2007",1000000,3000000
"Anthony Stokes","Centre-Forward",18,"Arsenal U23"," England","Sunderland","Championship","2006-2007",100000,3000000
"Djimi Traoré","Centre-Back",26,"Liverpool","Premier League","Charlton","Premier League","2006-2007",2500000,2800000
"Gabriel Paletta","Centre-Back",20,"CA Banfield","Torneo Final","Liverpool","Premier League","2006-2007",3000000,2700000
"Luton Shelton","Left Winger",21,"Helsingborg","Allsvenskan","Sheffield Utd.","Premier League","2006-2007",1300000,2700000
"Kevin Kilbane","Left Midfield",29,"Everton","Premier League","Wigan","Premier League","2006-2007",4500000,2500000
"Fernando Torres","Centre-Forward",23,"Atlético Madrid","LaLiga","Liverpool","Premier League","2007-2008",30000000,38000000
"Arjen Robben","Right Winger",23,"Chelsea","Premier League","Real Madrid","LaLiga","2007-2008",22800000,35000000
"Anderson","Central Midfield",19,"FC Porto","Liga NOS","Man Utd","Premier League","2007-2008",25000000,31500000
"Nani","Left Winger",20,"Sporting CP","Liga NOS","Man Utd","Premier League","2007-2008",25000000,25500000
"Owen Hargreaves","Defensive Midfield",26,"Bayern Munich ","1.Bundesliga","Man Utd","Premier League","2007-2008",25000000,25000000
"Darren Bent","Centre-Forward",23,"Charlton","Championship","Spurs","Premier League","2007-2008",7500000,24750000
"Thierry Henry","Centre-Forward",29,"Arsenal","Premier League","FC Barcelona","LaLiga","2007-2008",45000000,24000000
"Florent Malouda","Central Midfield",27,"Olympique Lyon","Ligue 1","Chelsea","Premier League","2007-2008",21000000,19000000
"Nicolas Anelka","Centre-Forward",28,"Bolton","Premier League","Chelsea","Premier League","2007-2008",20000000,18000000
"Ryan Babel","Left Winger",20,"AFC Ajax","Eredivisie","Liverpool","Premier League","2007-2008",8000000,17250000
"Afonso Alves","Centre-Forward",26,"Heerenveen","Eredivisie","Middlesbrough","Premier League","2007-2008",13000000,17000000
"Yakubu Aiyegbeni","Centre-Forward",24,"Middlesbrough","Premier League","Everton","Premier League","2007-2008",12000000,16500000
"Gareth Bale","Right Winger",17,"Southampton","Championship","Spurs","Premier League","2007-2008",7500000,14700000
"Eduardo","Centre-Forward",24,"Dinamo Zagreb","1.HNL","Arsenal","Premier League","2007-2008",7650000,13500000
"Rolando Bianchi","Centre-Forward",24,"Reggina","Serie A","Man City","Premier League","2007-2008",8500000,13000000
"Alan Hutton","Right-Back",23,"Rangers","Premiership","Spurs","Premier League","2007-2008",8000000,13000000
"Vedran Corluka","Centre-Back",21,"Dinamo Zagreb","1.HNL","Man City","Premier League","2007-2008",4100000,13000000
"Nigel Reo-Coker","Defensive Midfield",23,"West Ham","Premier League","Aston Villa","Premier League","2007-2008",4300000,12500000
"José Antonio Reyes","Right Winger",23,"Arsenal","Premier League","Atlético Madrid","LaLiga","2007-2008",16700000,12000000
"Gabriel Heinze","Centre-Back",29,"Man Utd","Premier League","Real Madrid","LaLiga","2007-2008",13000000,12000000
"Branislav Ivanovic","Centre-Back",23,"Loko Moscow","Premier Liga","Chelsea","Premier League","2007-2008",12000000,12000000
"Kieron Dyer","Right Midfield",28,"Newcastle","Premier League","West Ham","Premier League","2007-2008",9200000,12000000
"Elano","Attacking Midfield",26,"Shakhtar D.","Premier Liga","Man City","Premier League","2007-2008",7750000,12000000
"Younès Kaboul","Centre-Back",21,"AJ Auxerre","Ligue 1","Spurs","Premier League","2007-2008",7500000,12000000
"Craig Bellamy","Left Winger",28,"Liverpool","Premier League","West Ham","Premier League","2007-2008",12000000,11250000
"Mohamed Sissoko","Defensive Midfield",23,"Liverpool","Premier League","Juventus","Serie A","2007-2008",9000000,11000000
"Craig Gordon","Goalkeeper",24,"Heart of Midl.","Premiership","Sunderland","Premier League","2007-2008",1750000,10820000
"Jonathan Woodgate","Centre-Back",28,"Middlesbrough","Premier League","Spurs","Premier League","2007-2008",7500000,10800000
"Sulley Muntari","Central Midfield",22,"Udinese Calcio","Serie A","Portsmouth","Premier League","2007-2008",7000000,10510000
"Martin Skrtel","Centre-Back",23,"Zenit S-Pb","Premier Liga","Liverpool","Premier League","2007-2008",8500000,10000000
"Giuseppe Rossi","Centre-Forward",20,"Man Utd","Premier League","Villarreal CF","LaLiga","2007-2008",6500000,10000000
"Lucas Leiva","Defensive Midfield",20,"Grêmio","Série A","Liverpool","Premier League","2007-2008",6000000,10000000
"John Utaka","Left Winger",25,"Stade Rennais","Ligue 1","Portsmouth","Premier League","2007-2008",5500000,10000000
"Scott Parker","Central Midfield",26,"Newcastle","Premier League","West Ham","Premier League","2007-2008",12000000,9700000
"Jonathan Woodgate","Centre-Back",27,"Real Madrid","LaLiga","Middlesbrough","Premier League","2007-2008",11000000,9600000
"Jermain Defoe","Centre-Forward",25,"Spurs","Premier League","Portsmouth","Premier League","2007-2008",11500000,9300000
"Julien Faubert","Defensive Midfield",24,"G. Bordeaux","Ligue 1","West Ham","Premier League","2007-2008",10500000,9150000
"Djibril Cissé","Centre-Forward",25,"Liverpool","Premier League","Marseille","Ligue 1","2007-2008",13500000,9000000
"Bacary Sagna","Right-Back",24,"AJ Auxerre","Ligue 1","Arsenal","Premier League","2007-2008",6000000,9000000
"Alan Smith","Central Midfield",26,"Man Utd","Premier League","Newcastle","Premier League","2007-2008",5400000,9000000
"Diomansy Kamara","Right Winger",26,"West Brom","Championship","Fulham","Premier League","2007-2008",3000000,9000000
"David Nugent","Centre-Forward",22,"Preston NE","Championship","Portsmouth","Premier League","2007-2008",2500000,9000000
"Kenwyne Jones","Centre-Forward",22,"Southampton","Championship","Sunderland","Premier League","2007-2008",1600000,9000000
"Mido","Centre-Forward",24,"Spurs","Premier League","Middlesbrough","Premier League","2007-2008",5900000,8800000
"José Enrique","Left-Back",21,"Villarreal CF","LaLiga","Newcastle","Premier League","2007-2008",800000,8700000
"Joey Barton","Central Midfield",24,"Man City","Premier League","Newcastle","Premier League","2007-2008",7400000,8600000
"Kieran Richardson","Left-Back",22,"Man Utd","Premier League","Sunderland","Premier League","2007-2008",5000000,8200000
"Valeri Bojinov","Centre-Forward",21,"Fiorentina","Serie A","Man City","Premier League","2007-2008",9750000,8000000
"Albert Luque","Left Winger",29,"Newcastle","Premier League","AFC Ajax","Eredivisie","2007-2008",4800000,8000000
"Kevin-Prince Boateng","Central Midfield",20,"Hertha BSC","1.Bundesliga","Spurs","Premier League","2007-2008",4000000,7900000
"Leighton Baines","Left-Back",22,"Wigan","Premier League","Everton","Premier League","2007-2008",7500000,7500000
"Gary O'Neil","Central Midfield",24,"Portsmouth","Premier League","Middlesbrough","Premier League","2007-2008",3750000,7500000
"James McFadden","Second Striker",24,"Everton","Premier League","Birmingham","Premier League","2007-2008",3000000,7500000
"Michael Chopra","Centre-Forward",23,"Cardiff","Championship","Sunderland","Premier League","2007-2008",1250000,7500000
"Yossi Benayoun","Right Winger",27,"West Ham","Premier League","Liverpool","Premier League","2007-2008",4500000,7300000
"Martin Petrov","Left Winger",28,"Atlético Madrid","LaLiga","Man City","Premier League","2007-2008",10000000,7000000
"Lassana Diarra","Defensive Midfield",22,"Arsenal","Premier League","Portsmouth","Premier League","2007-2008",7000000,7000000
"Felipe Caicedo","Centre-Forward",19,"FC Basel","Super League","Man City","Premier League","2007-2008",5000000,7000000
"Jason Koumas","Attacking Midfield",27,"West Brom","Championship","Wigan","Premier League","2007-2008",2000000,6900000
"Fabrice Muamba","Central Midfield",19,"Arsenal","Premier League","Birmingham","Premier League","2007-2008",6000000,6000000
"James Beattie","Centre-Forward",29,"Everton","Premier League","Sheffield Utd.","Championship","2007-2008",5700000,6000000
"Andy Reid","Left Midfield",25,"Charlton","Championship","Sunderland","Premier League","2007-2008",4750000,6000000
"Mark González","Left Winger",23,"Liverpool","Premier League","Real Betis","LaLiga","2007-2008",3500000,6000000
"Phil Jagielka","Centre-Back",24,"Sheffield Utd.","Championship","Everton","Premier League","2007-2008",2750000,6000000
"Gary Cahill","Centre-Back",22,"Aston Villa","Premier League","Bolton","Premier League","2007-2008",1500000,6000000
"Steven Davis","Central Midfield",22,"Aston Villa","Premier League","Fulham","Premier League","2007-2008",4600000,5900000
"Juliano Belletti","Right-Back",31,"FC Barcelona","LaLiga","Chelsea","Premier League","2007-2008",4500000,5500000
"Marlon Harewood","Centre-Forward",27,"West Ham","Premier League","Aston Villa","Premier League","2007-2008",4500000,5500000
"Glen Johnson","Right-Back",22,"Chelsea","Premier League","Portsmouth","Premier League","2007-2008",3700000,5500000
"Gelson Fernandes","Defensive Midfield",20,"FC Sion","Super League","Man City","Premier League","2007-2008",1000000,5500000
"Grétar Steinsson","Right-Back",25,"AZ Alkmaar","Eredivisie","Bolton","Premier League","2007-2008",2500000,5250000
"Robert Earnshaw","Centre-Forward",26,"Norwich","Championship","Derby","Premier League","2007-2008",5300000,5200000
"Benjani","Centre-Forward",29,"Portsmouth","Premier League","Man City","Premier League","2007-2008",5000000,5200000
"Greg Halford","Centre-Back",22,"Reading","Premier League","Sunderland","Premier League","2007-2008",400000,5200000
"Papa Bouba Diop","Defensive Midfield",29,"Fulham","Premier League","Portsmouth","Premier League","2007-2008",5500000,5000000
"Roque Santa Cruz","Centre-Forward",25,"Bayern Munich ","1.Bundesliga","Blackburn","Premier League","2007-2008",3000000,5000000
"Matthew Taylor","Left Midfield",26,"Portsmouth","Premier League","Bolton","Premier League","2007-2008",4000000,4700000
"Zat Knight","Centre-Back",27,"Fulham","Premier League","Aston Villa","Premier League","2007-2008",3300000,4700000
"Freddie Ljungberg","Attacking Midfield",30,"Arsenal","Premier League","West Ham","Premier League","2007-2008",8300000,4500000
"Kenny Miller","Centre-Forward",27,"Celtic","Premiership","Derby","Premier League","2007-2008",1250000,4500000
"Hameur Bouazza","Right Winger",22,"Watford","Championship","Fulham","Premier League","2007-2008",840000,4500000
"Claude Davis","Centre-Back",28,"Sheffield Utd.","Championship","Derby","Premier League","2007-2008",770000,4500000
"Chris Baird","Defensive Midfield",25,"Southampton","Championship","Fulham","Premier League","2007-2008",750000,4500000
"Franco Di Santo","Centre-Forward",18,"Audax Italiano"," Chile","Chelsea","Premier League","2007-2008",NA,4500000
"Lukasz Fabianski","Goalkeeper",22,"Legia Warszawa","Ekstraklasa","Arsenal","Premier League","2007-2008",4350000,4350000
"David Rozehnal","Centre-Back",27,"Paris SG","Ligue 1","Newcastle","Premier League","2007-2008",5000000,4300000
"Tomasz Kuszczak","Goalkeeper",25,"West Brom","Championship","Man Utd","Premier League","2007-2008",3400000,4300000
"Leon Andreasen","Central Midfield",24,"Werder Bremen","1.Bundesliga","Fulham","Premier League","2007-2008",2500000,4300000
"Tim Howard","Goalkeeper",28,"Man Utd","Premier League","Everton","Premier League","2007-2008",2750000,4200000
"Lomana LuaLua","Second Striker",26,"Portsmouth","Premier League","Olympiacos","Super League","2007-2008",5500000,4100000
"Luis García","Right Winger",29,"Liverpool","Premier League","Atlético Madrid","LaLiga","2007-2008",9400000,4000000
"Fitz Hall","Centre-Back",27,"Wigan","Premier League","QPR","Championship","2007-2008",4500000,4000000
"Florent Sinama-Pongolle","Second Striker",22,"Liverpool","Premier League","Recr. Huelva","LaLiga","2007-2008",4500000,4000000
"Garry O'Connor","Centre-Forward",24,"Loko Moscow","Premier Liga","Birmingham","Premier League","2007-2008",4000000,4000000
"Marlon King","Centre-Forward",27,"Watford","Championship","Wigan","Premier League","2007-2008",2250000,4000000
"Adel Taarabt","Attacking Midfield",18,"Lens","Ligue 1","Spurs","Premier League","2007-2008",50000,4000000
"Robinho","Left Winger",24,"Real Madrid","LaLiga","Man City","Premier League","2008-2009",34000000,43000000
"Dimitar Berbatov","Centre-Forward",27,"Spurs","Premier League","Man Utd","Premier League","2008-2009",26000000,38000000
"Robbie Keane","Centre-Forward",28,"Spurs","Premier League","Liverpool","Premier League","2008-2009",16500000,24000000
"Jô","Centre-Forward",21,"CSKA Moscow","Premier Liga","Man City","Premier League","2008-2009",16000000,24000000
"Javier Mascherano","Defensive Midfield",24,"West Ham","Premier League","Liverpool","Premier League","2008-2009",22500000,22500000
"David Bentley","Right Midfield",23,"Blackburn","Premier League","Spurs","Premier League","2008-2009",9000000,22000000
"Marouane Fellaini","Central Midfield",20,"Standard Liège","Jupiler Pro League","Everton","Premier League","2008-2009",7000000,21760000
"Luka Modric","Central Midfield",22,"Dinamo Zagreb","1.HNL","Spurs","Premier League","2008-2009",18000000,21000000
"Bosingwa","Right-Back",25,"FC Porto","Liga NOS","Chelsea","Premier League","2008-2009",17000000,20500000
"Lassana Diarra","Defensive Midfield",23,"Portsmouth","Premier League","Real Madrid","LaLiga","2008-2009",8500000,20000000
"Nigel de Jong","Defensive Midfield",24,"Hamburger SV","1.Bundesliga","Man City","Premier League","2008-2009",12000000,18000000
"Roman Pavlyuchenko","Centre-Forward",26,"Spartak Moscow","Premier Liga","Spurs","Premier League","2008-2009",8000000,17400000
"Aleksandr Hleb","Attacking Midfield",27,"Arsenal","Premier League","FC Barcelona","LaLiga","2008-2009",19000000,17000000
"Robbie Keane","Centre-Forward",28,"Liverpool","Premier League","Spurs","Premier League","2008-2009",21000000,16700000
"Andrey Arshavin","Second Striker",27,"Zenit S-Pb","Premier Liga","Arsenal","Premier League","2008-2009",24000000,16500000
"Jermain Defoe","Centre-Forward",26,"Portsmouth","Premier League","Spurs","Premier League","2008-2009",11000000,16400000
"Samir Nasri","Left Winger",21,"Marseille","Ligue 1","Arsenal","Premier League","2008-2009",15000000,16000000
"Craig Bellamy","Left Winger",29,"West Ham","Premier League","Man City","Premier League","2008-2009",7500000,15500000
"James Milner","Central Midfield",22,"Newcastle","Premier League","Aston Villa","Premier League","2008-2009",8500000,15000000
"Wilson Palacios","Defensive Midfield",24,"Wigan","Premier League","Spurs","Premier League","2008-2009",3500000,15000000
"Sulley Muntari","Central Midfield",23,"Portsmouth","Premier League","Inter","Serie A","2008-2009",12000000,14000000
"Vedran Corluka","Centre-Back",22,"Man City","Premier League","Spurs","Premier League","2008-2009",11500000,13750000
"Peter Crouch","Centre-Forward",27,"Liverpool","Premier League","Portsmouth","Premier League","2008-2009",9500000,13700000
"Andy Johnson","Centre-Forward",27,"Everton","Premier League","Fulham","Premier League","2008-2009",10000000,13300000
"Fabricio Coloccini","Centre-Back",26,"Dep. La Coruña","LaLiga","Newcastle","Premier League","2008-2009",10000000,13000000
"Wayne Bridge","Left-Back",28,"Chelsea","Premier League","Man City","Premier League","2008-2009",6000000,13000000
"Johan Elmander","Centre-Forward",27,"Toulouse","Ligue 1","Bolton","Premier League","2008-2009",10000000,12600000
"Shaun Wright-Phillips","Right Winger",26,"Chelsea","Premier League","Man City","Premier League","2008-2009",13000000,11250000
"Deco","Attacking Midfield",30,"FC Barcelona","LaLiga","Chelsea","Premier League","2008-2009",18000000,10000000
"Carlos Cuéllar","Centre-Back",26,"Rangers","Premiership","Aston Villa","Premier League","2008-2009",6000000,10000000
"Anton Ferdinand","Centre-Back",23,"West Ham","Premier League","Sunderland","Premier League","2008-2009",4000000,10000000
"Curtis Davies","Centre-Back",23,"West Brom","Premier League","Aston Villa","Premier League","2008-2009",3500000,10000000
"Albert Riera","Left Winger",26,"Espanyol","LaLiga","Liverpool","Premier League","2008-2009",12000000,9800000
"Shay Given","Goalkeeper",32,"Newcastle","Premier League","Man City","Premier League","2008-2009",7500000,9000000
